ID;NOME;IDADE;CATEGORIA_PREFERIDA;MEDIA_TICKET_MENSAL;TICKET_MES_ATUAL;E_MAIL;ESTADO;REGIAO_DO_BRASIL;MEDIA_ACESSOS_MENSAIS
54;Sr. Heitor Farias;39;Vestuário;2996.89;4754.66;almeidaclara@cardoso.com;PI;Nordeste;94
55;Letícia Porto;42;Alimentos;248.81;1110.41;ana-laura55@costa.br;AM;Nordeste;5
56;Thales Cardoso;44;Eletrônicos;3519.86;3755.72;guilhermemelo@uol.com.br;MS;Nordeste;6
57;Clara Costela;25;Livros;4153.37;1025.76;alexandre91@peixoto.br;SE;Sul;10
58;Melissa Barros;40;Beleza;4756.73;1563.59;oliveiraemanuella@bol.com.br;SC;Sul;69
59;Dra. Yasmin da Rosa;59;Vestuário;3475.56;3576.94;isadoranascimento@bol.com.br;GO;Nordeste;52
60;Vitor Rocha;73;Vestuário;3597.7;1663.63;laismoura@cardoso.br;PA;Sudeste;52
61;Sr. Rodrigo Oliveira;46;Esportes;895.81;167.34;kaiquepeixoto@yahoo.com.br;SE;Sudeste;21
62;Levi Monteiro;37;Móveis;2418.46;2599.4;ubarros@castro.com;DF;Sul;14
63;Emanuelly da Rocha;24;Livros;536.17;1223.75;ana-juliacosta@hotmail.com;PR;Nordeste;3
64;Emilly Fogaça;23;Eletrônicos;817.38;2105.84;kporto@uol.com.br;AP;Centro-Oeste;66
65;Enzo Gabriel Cunha;34;Móveis;351.34;1434.76;ppereira@aragao.com;MA;Centro-Oeste;41
66;Helena Gonçalves;26;Livros;3839.59;2552.68;camposnatalia@bol.com.br;PB;Sul;88
67;Lara Mendes;64;Alimentos;885.54;1294.62;jmartins@da.br;AL;Norte;16
68;Sarah Moraes;47;Livros;747.71;1629.44;brenda73@da.br;RS;Sudeste;58
69;Thiago Barbosa;23;Alimentos;1488.3;1814.18;vbarros@da.com;SP;Norte;34
70;Carolina Melo;32;Beleza;3567.74;2889.55;iporto@uol.com.br;AC;Norte;17
71;Sr. Ian Monteiro;62;Eletrônicos;1764.73;3788.17;correiaisabel@ig.com.br;PR;Sul;10
72;Isadora Nogueira;64;Livros;1087.19;4351.49;igor27@ramos.net;MS;Sudeste;94
73;Cecília Lima;52;Beleza;2320.74;1074.12;vitorviana@hotmail.com;GO;Sudeste;48
74;Lívia Cardoso;65;Esportes;684.81;721.15;silveiraalice@goncalves.com;GO;Sudeste;9
75;Kevin Pinto;28;Livros;123.28;4120.72;osantos@bol.com.br;BA;Nordeste;66
76;Luiz Miguel Monteiro;57;Eletrônicos;733.42;3808.18;silveiramarcela@bol.com.br;PE;Sul;79
77;Juan Silveira;52;Beleza;207.11;812.44;silvaalicia@dias.com;RJ;Norte;9
78;Maria Clara da Paz;46;Esportes;3326.8;4757.88;clarateixeira@yahoo.com.br;AL;Norte;3
79;Srta. Marina da Luz;49;Esportes;2972.31;4459.96;amanda89@teixeira.br;DF;Sudeste;2
80;Maria Fernanda Moraes;68;Livros;3749.81;3266.22;vicente12@santos.net;MA;Centro-Oeste;97
81;João Azevedo;37;Beleza;2763.79;709.91;joao-pedro52@monteiro.com;ES;Nordeste;21
82;Sra. Maysa Pereira;35;Móveis;2386.13;2023.55;vitormoraes@viana.br;AM;Sul;17
83;Ana Clara da Luz;31;Vestuário;3607.2;1544.3;osales@campos.net;BA;Nordeste;43
84;Dra. Isabel Barbosa;33;Alimentos;1390.26;2220.73;marcela42@ribeiro.com;AM;Sudeste;17
85;Danilo Vieira;67;Livros;3256.27;3861.71;nrocha@campos.com;PA;Sul;37
86;Bernardo Dias;21;Vestuário;2009.19;3854.8;pietrada-rocha@jesus.org;BA;Centro-Oeste;11
87;Fernando Porto;76;Eletrônicos;3758.63;3563.23;mda-mata@jesus.net;AL;Sul;21
88;Joaquim Rodrigues;78;Livros;4521.79;4445.85;xda-rocha@da.com;RO;Sul;67
89;Pietro Nascimento;76;Alimentos;626.93;280.51;augustocavalcanti@cunha.br;ES;Sul;62
90;Gustavo Henrique Teixeira;76;Livros;4905.32;3563.32;carvalhocarolina@gmail.com;SE;Sul;18
91;Kamilly Farias;72;Vestuário;1479.7;4423.12;rda-rocha@gmail.com;SC;Nordeste;71
92;Maria Alice da Costa;21;Alimentos;1641.4;158.4;bernardonunes@ig.com.br;PA;Nordeste;98
93;Sr. Breno Porto;44;Móveis;1115.74;2151.31;da-matasophie@yahoo.com.br;MS;Sudeste;33
94;Pedro Lucas Sales;59;Alimentos;2258.49;3894.88;yasmincastro@campos.br;PA;Sudeste;80
95;Olivia Lopes;28;Eletrônicos;2256.8;730.1;da-cunhaemilly@goncalves.net;GO;Sul;100
96;André Alves;22;Esportes;1517.79;4361.34;da-conceicaojoao-vitor@bol.com.br;RR;Nordeste;22
97;Agatha Fernandes;77;Eletrônicos;2007.3;4504.67;rlopes@goncalves.com;GO;Nordeste;21
98;Stella Martins;27;Esportes;4715.28;2326.38;vda-mata@ribeiro.org;SE;Norte;70
99;Natália Fogaça;51;Esportes;2945.7;3647.27;da-rochamaria-luiza@bol.com.br;SP;Sul;4
100;João Miguel Rezende;54;Móveis;2953.8;3098.28;gabrielafogaca@gmail.com;ES;Sul;11
